q		p		p^2		2pq		q^2
0.0211	0.9789	0.0004	0.0413	0.9582
0.0211	0.9789	0.0004	0.0413	0.9583
0.0211	0.9789	0.0004	0.0412	0.9583
0.0210	0.9790	0.0004	0.0412	0.9584
0.0210	0.9790	0.0004	0.0411	0.9585
0.0210	0.9790	0.0004	0.0410	0.9585
0.0209	0.9791	0.0004	0.0410	0.9586
0.0209	0.9791	0.0004	0.0409	0.9586
0.0209	0.9791	0.0004	0.0409	0.9587
0.0209	0.9791	0.0004	0.0408	0.9587
0.0208	0.9792	0.0004	0.0408	0.9588
0.0208	0.9792	0.0004	0.0407	0.9588
0.0208	0.9792	0.0004	0.0407	0.9589
0.0207	0.9793	0.0004	0.0406	0.9589
0.0207	0.9793	0.0004	0.0406	0.9590
0.0207	0.9793	0.0004	0.0405	0.9590
0.0207	0.9793	0.0004	0.0405	0.9591
0.0207	0.9793	0.0004	0.0405	0.9591
0.0206	0.9794	0.0004	0.0404	0.9592
0.0206	0.9794	0.0004	0.0404	0.9592
0.0206	0.9794	0.0004	0.0403	0.9592
0.0206	0.9794	0.0004	0.0403	0.9593
0.0205	0.9795	0.0004	0.0403	0.9593
0.0205	0.9795	0.0004	0.0402	0.9594
0.0205	0.9795	0.0004	0.0402	0.9594
0.0205	0.9795	0.0004	0.0401	0.9594
0.0205	0.9795	0.0004	0.0401	0.9595
0.0205	0.9795	0.0004	0.0401	0.9595
0.0204	0.9796	0.0004	0.0400	0.9595
0.0204	0.9796	0.0004	0.0400	0.9596
0.0204	0.9796	0.0004	0.0400	0.9596
0.0204	0.9796	0.0004	0.0399	0.9596
0.0204	0.9796	0.0004	0.0399	0.9597
0.0204	0.9796	0.0004	0.0399	0.9597
0.0203	0.9797	0.0004	0.0399	0.9597
0.0203	0.9797	0.0004	0.0398	0.9598
0.0203	0.9797	0.0004	0.0398	0.9598
0.0203	0.9797	0.0004	0.0398	0.9598
0.0203	0.9797	0.0004	0.0397	0.9598
0.0203	0.9797	0.0004	0.0397	0.9599
0.0203	0.9797	0.0004	0.0397	0.9599
0.0202	0.9798	0.0004	0.0397	0.9599
0.0202	0.9798	0.0004	0.0396	0.9600
0.0202	0.9798	0.0004	0.0396	0.9600
0.0202	0.9798	0.0004	0.0396	0.9600
0.0202	0.9798	0.0004	0.0396	0.9600
0.0202	0.9798	0.0004	0.0395	0.9601
0.0202	0.9798	0.0004	0.0395	0.9601
0.0202	0.9798	0.0004	0.0395	0.9601
0.0201	0.9799	0.0004	0.0395	0.9601
0.0201	0.9799	0.0004	0.0395	0.9601
0.0201	0.9799	0.0004	0.0394	0.9602
0.0201	0.9799	0.0004	0.0394	0.9602
0.0201	0.9799	0.0004	0.0394	0.9602
0.0201	0.9799	0.0004	0.0394	0.9602
0.0201	0.9799	0.0004	0.0394	0.9602
0.0201	0.9799	0.0004	0.0393	0.9603
0.0201	0.9799	0.0004	0.0393	0.9603
0.0201	0.9799	0.0004	0.0393	0.9603
0.0200	0.9800	0.0004	0.0393	0.9603
0.0200	0.9800	0.0004	0.0393	0.9603
0.0200	0.9800	0.0004	0.0392	0.9604
0.0200	0.9800	0.0004	0.0392	0.9604
0.0200	0.9800	0.0004	0.0392	0.9604
0.0200	0.9800	0.0004	0.0392	0.9604
0.0200	0.9800	0.0004	0.0392	0.9604
0.0200	0.9800	0.0004	0.0392	0.9604
0.0200	0.9800	0.0004	0.0392	0.9604
0.0200	0.9800	0.0004	0.0391	0.9605
0.0200	0.9800	0.0004	0.0391	0.9605
0.0200	0.9800	0.0004	0.0391	0.9605
0.0199	0.9801	0.0004	0.0391	0.9605
0.0199	0.9801	0.0004	0.0391	0.9605
0.0199	0.9801	0.0004	0.0391	0.9605
0.0199	0.9801	0.0004	0.0391	0.9605
0.0199	0.9801	0.0004	0.0390	0.9606
0.0199	0.9801	0.0004	0.0390	0.9606
0.0199	0.9801	0.0004	0.0390	0.9606
0.0199	0.9801	0.0004	0.0390	0.9606
0.0199	0.9801	0.0004	0.0390	0.9606
0.0199	0.9801	0.0004	0.0390	0.9606
0.0199	0.9801	0.0004	0.0390	0.9606
0.0199	0.9801	0.0004	0.0390	0.9606
0.0199	0.9801	0.0004	0.0390	0.9606
0.0199	0.9801	0.0004	0.0389	0.9607
0.0199	0.9801	0.0004	0.0389	0.9607
0.0199	0.9801	0.0004	0.0389	0.9607
0.0199	0.9801	0.0004	0.0389	0.9607
0.0198	0.9802	0.0004	0.0389	0.9607
0.0198	0.9802	0.0004	0.0389	0.9607
0.0198	0.9802	0.0004	0.0389	0.9607
0.0198	0.9802	0.0004	0.0389	0.9607
0.0198	0.9802	0.0004	0.0389	0.9607
0.0198	0.9802	0.0004	0.0389	0.9607
0.0198	0.9802	0.0004	0.0389	0.9608
0.0198	0.9802	0.0004	0.0388	0.9608
0.0198	0.9802	0.0004	0.0388	0.9608
0.0198	0.9802	0.0004	0.0388	0.9608
0.0198	0.9802	0.0004	0.0388	0.9608
0.0198	0.9802	0.0004	0.0388	0.9608
0.0198	0.9802	0.0004	0.0388	0.9608
0.0198	0.9802	0.0004	0.0388	0.9608
0.0198	0.9802	0.0004	0.0388	0.9608
0.0198	0.9802	0.0004	0.0388	0.9608
0.0198	0.9802	0.0004	0.0388	0.9608
0.0198	0.9802	0.0004	0.0388	0.9608
0.0198	0.9802	0.0004	0.0388	0.9608
0.0198	0.9802	0.0004	0.0388	0.9608
0.0198	0.9802	0.0004	0.0388	0.9609
0.0198	0.9802	0.0004	0.0387	0.9609
0.0198	0.9802	0.0004	0.0387	0.9609
0.0198	0.9802	0.0004	0.0387	0.9609
0.0198	0.9802	0.0004	0.0387	0.9609
0.0198	0.9802	0.0004	0.0387	0.9609
0.0197	0.9803	0.0004	0.0387	0.9609
0.0197	0.9803	0.0004	0.0387	0.9609
0.0197	0.9803	0.0004	0.0387	0.9609
0.0197	0.9803	0.0004	0.0387	0.9609
0.0197	0.9803	0.0004	0.0387	0.9609
0.0197	0.9803	0.0004	0.0387	0.9609
0.0197	0.9803	0.0004	0.0387	0.9609
0.0197	0.9803	0.0004	0.0387	0.9609
0.0197	0.9803	0.0004	0.0387	0.9609
0.0197	0.9803	0.0004	0.0387	0.9609
0.0197	0.9803	0.0004	0.0387	0.9609
0.0197	0.9803	0.0004	0.0387	0.9609
0.0197	0.9803	0.0004	0.0387	0.9610
0.0197	0.9803	0.0004	0.0387	0.9610
0.0197	0.9803	0.0004	0.0387	0.9610
0.0197	0.9803	0.0004	0.0386	0.9610
0.0197	0.9803	0.0004	0.0386	0.9610
0.0197	0.9803	0.0004	0.0386	0.9610
0.0197	0.9803	0.0004	0.0386	0.9610
0.0197	0.9803	0.0004	0.0386	0.9610
0.0197	0.9803	0.0004	0.0386	0.9610
0.0197	0.9803	0.0004	0.0386	0.9610
0.0197	0.9803	0.0004	0.0386	0.9610
0.0197	0.9803	0.0004	0.0386	0.9610
0.0197	0.9803	0.0004	0.0386	0.9610
0.0197	0.9803	0.0004	0.0386	0.9610
0.0197	0.9803	0.0004	0.0386	0.9610
0.0197	0.9803	0.0004	0.0386	0.9610
0.0197	0.9803	0.0004	0.0386	0.9610
0.0197	0.9803	0.0004	0.0386	0.9610
0.0197	0.9803	0.0004	0.0386	0.9610
0.0197	0.9803	0.0004	0.0386	0.9610
0.0197	0.9803	0.0004	0.0386	0.9610
0.0197	0.9803	0.0004	0.0386	0.9610
0.0197	0.9803	0.0004	0.0386	0.9610
0.0197	0.9803	0.0004	0.0386	0.9610
0.0197	0.9803	0.0004	0.0386	0.9610
0.0197	0.9803	0.0004	0.0386	0.9610
0.0197	0.9803	0.0004	0.0386	0.9610
0.0197	0.9803	0.0004	0.0386	0.9610
0.0197	0.9803	0.0004	0.0386	0.9610
0.0197	0.9803	0.0004	0.0386	0.9610
0.0197	0.9803	0.0004	0.0386	0.9611
0.0197	0.9803	0.0004	0.0386	0.9611
0.0197	0.9803	0.0004	0.0386	0.9611
0.0197	0.9803	0.0004	0.0386	0.9611
0.0197	0.9803	0.0004	0.0386	0.9611
0.0197	0.9803	0.0004	0.0386	0.9611
0.0197	0.9803	0.0004	0.0385	0.9611
0.0197	0.9803	0.0004	0.0385	0.9611
0.0197	0.9803	0.0004	0.0385	0.9611
0.0197	0.9803	0.0004	0.0385	0.9611
0.0197	0.9803	0.0004	0.0385	0.9611
0.0197	0.9803	0.0004	0.0385	0.9611
0.0197	0.9803	0.0004	0.0385	0.9611
0.0197	0.9803	0.0004	0.0385	0.9611
0.0197	0.9803	0.0004	0.0385	0.9611
0.0197	0.9803	0.0004	0.0385	0.9611
0.0197	0.9803	0.0004	0.0385	0.9611
0.0197	0.9803	0.0004	0.0385	0.9611
0.0196	0.9804	0.0004	0.0385	0.9611
0.0196	0.9804	0.0004	0.0385	0.9611
0.0196	0.9804	0.0004	0.0385	0.9611
0.0196	0.9804	0.0004	0.0385	0.9611
0.0196	0.9804	0.0004	0.0385	0.9611
0.0196	0.9804	0.0004	0.0385	0.9611
0.0196	0.9804	0.0004	0.0385	0.9611
0.0196	0.9804	0.0004	0.0385	0.9611
0.0196	0.9804	0.0004	0.0385	0.9611
0.0196	0.9804	0.0004	0.0385	0.9611
0.0196	0.9804	0.0004	0.0385	0.9611
0.0196	0.9804	0.0004	0.0385	0.9611
0.0196	0.9804	0.0004	0.0385	0.9611
0.0196	0.9804	0.0004	0.0385	0.9611
0.0196	0.9804	0.0004	0.0385	0.9611
0.0196	0.9804	0.0004	0.0385	0.9611
0.0196	0.9804	0.0004	0.0385	0.9611
0.0196	0.9804	0.0004	0.0385	0.9611
0.0196	0.9804	0.0004	0.0385	0.9611
0.0196	0.9804	0.0004	0.0385	0.9611
0.0196	0.9804	0.0004	0.0385	0.9611
0.0196	0.9804	0.0004	0.0385	0.9611
0.0196	0.9804	0.0004	0.0385	0.9611
0.0196	0.9804	0.0004	0.0385	0.9611
0.0196	0.9804	0.0004	0.0385	0.9611
0.0196	0.9804	0.0004	0.0385	0.9611
0.0196	0.9804	0.0004	0.0385	0.9611
0.0196	0.9804	0.0004	0.0385	0.9611
0.0196	0.9804	0.0004	0.0385	0.9611
0.0196	0.9804	0.0004	0.0385	0.9611
0.0196	0.9804	0.0004	0.0385	0.9611
0.0196	0.9804	0.0004	0.0385	0.9611
0.0196	0.9804	0.0004	0.0385	0.9611
0.0196	0.9804	0.0004	0.0385	0.9611
0.0196	0.9804	0.0004	0.0385	0.9611
0.0196	0.9804	0.0004	0.0385	0.9611
0.0196	0.9804	0.0004	0.0385	0.9611
0.0196	0.9804	0.0004	0.0385	0.9611
0.0196	0.9804	0.0004	0.0385	0.9611
0.0196	0.9804	0.0004	0.0385	0.9611
0.0196	0.9804	0.0004	0.0385	0.9611
0.0196	0.9804	0.0004	0.0385	0.9611
0.0196	0.9804	0.0004	0.0385	0.9611
0.0196	0.9804	0.0004	0.0385	0.9611
0.0196	0.9804	0.0004	0.0385	0.9611
0.0196	0.9804	0.0004	0.0385	0.9611
0.0196	0.9804	0.0004	0.0385	0.9611
0.0196	0.9804	0.0004	0.0385	0.9611
0.0196	0.9804	0.0004	0.0385	0.9611
0.0196	0.9804	0.0004	0.0385	0.9611
0.0196	0.9804	0.0004	0.0385	0.9611
0.0196	0.9804	0.0004	0.0385	0.9611
0.0196	0.9804	0.0004	0.0385	0.9611
0.0196	0.9804	0.0004	0.0385	0.9611
0.0196	0.9804	0.0004	0.0385	0.9611
0.0196	0.9804	0.0004	0.0385	0.9611
0.0196	0.9804	0.0004	0.0385	0.9611
0.0196	0.9804	0.0004	0.0385	0.9611
0.0196	0.9804	0.0004	0.0385	0.9611
0.0196	0.9804	0.0004	0.0385	0.9611
0.0196	0.9804	0.0004	0.0385	0.9611
0.0196	0.9804	0.0004	0.0385	0.9611
0.0196	0.9804	0.0004	0.0385	0.9611
0.0196	0.9804	0.0004	0.0385	0.9611
0.0196	0.9804	0.0004	0.0385	0.9611
0.0196	0.9804	0.0004	0.0385	0.9611
0.0196	0.9804	0.0004	0.0385	0.9611
0.0196	0.9804	0.0004	0.0385	0.9611
0.0196	0.9804	0.0004	0.0385	0.9611
0.0196	0.9804	0.0004	0.0385	0.9611
0.0196	0.9804	0.0004	0.0385	0.9611
0.0196	0.9804	0.0004	0.0385	0.9611
0.0196	0.9804	0.0004	0.0385	0.9611
0.0196	0.9804	0.0004	0.0385	0.9612
0.0196	0.9804	0.0004	0.0385	0.9612
0.0196	0.9804	0.0004	0.0385	0.9612
0.0196	0.9804	0.0004	0.0385	0.9612
0.0196	0.9804	0.0004	0.0385	0.9612
0.0196	0.9804	0.0004	0.0385	0.9612
0.0196	0.9804	0.0004	0.0385	0.9612
0.0196	0.9804	0.0004	0.0385	0.9612
0.0196	0.9804	0.0004	0.0385	0.9612
0.0196	0.9804	0.0004	0.0385	0.9612
0.0196	0.9804	0.0004	0.0385	0.9612
0.0196	0.9804	0.0004	0.0385	0.9612
0.0196	0.9804	0.0004	0.0385	0.9612
0.0196	0.9804	0.0004	0.0385	0.9612
0.0196	0.9804	0.0004	0.0385	0.9612
0.0196	0.9804	0.0004	0.0385	0.9612
0.0196	0.9804	0.0004	0.0385	0.9612
0.0196	0.9804	0.0004	0.0385	0.9612
0.0196	0.9804	0.0004	0.0385	0.9612
0.0196	0.9804	0.0004	0.0385	0.9612
0.0196	0.9804	0.0004	0.0385	0.9612
0.0196	0.9804	0.0004	0.0385	0.9612
0.0196	0.9804	0.0004	0.0385	0.9612
0.0196	0.9804	0.0004	0.0385	0.9612
0.0196	0.9804	0.0004	0.0385	0.9612
0.0196	0.9804	0.0004	0.0385	0.9612
